,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12700,Hackney,Private room,58,8,3,0.08,1,0
12701,Brent,Private room,39,1,117,3.3,3,313
12703,Wandsworth,Entire home/apt,120,2,2,0.06,1,0
12704,Hammersmith and Fulham,Entire home/apt,99,2,23,0.63,1,79
12707,Westminster,Entire home/apt,175,1,113,3.08,6,23
12709,Southwark,Private room,41,3,157,4.26,2,17
12713,Islington,Private room,89,1,12,3.33,1,0
12714,Tower Hamlets,Private room,27,7,1,0.03,1,0
12715,Hackney,Private room,35,3,39,1.06,1,88
12716,Hackney,Entire home/apt,79,1,3,0.08,1,0
12718,Wandsworth,Entire home/apt,170,7,16,0.44,1,19
12720,Brent,Entire home/apt,69,3,9,0.24,1,0
12721,Hackney,Entire home/apt,80,4,8,0.25,1,129
12726,Southwark,Private room,41,1,33,2.31,2,0
12727,Southwark,Entire home/apt,100,2,7,0.19,1,0
12728,Ealing,Private room,37,1,11,0.32,4,43
12730,Southwark,Private room,45,1,72,2.07,2,297
12731,Newham,Private room,35,2,36,1.27,2,346
12732,Newham,Private room,25,2,50,1.37,2,339
12733,Brent,Private room,30,3,4,0.11,1,0
12734,Southwark,Entire home/apt,90,1,5,0.16,2,8
12735,Camden,Entire home/apt,95,2,79,2.17,1,85
12736,Lewisham,Entire home/apt,35,7,1,0.04,2,0
12738,Waltham Forest,Entire home/apt,85,7,1,0.03,2,0
12741,Lambeth,Private room,35,1,2,0.09,5,90
12742,Lambeth,Private room,45,1,26,0.7,5,180
12743,Wandsworth,Private room,82,1,1,0.03,1,364
12744,Wandsworth,Private room,69,1,142,3.85,7,312
12745,Islington,Entire home/apt,75,3,3,0.08,159,0
12746,Tower Hamlets,Private room,30,2,6,0.29,1,37
12747,Bromley,Private room,45,1,60,1.67,2,361
12748,Bromley,Private room,36,1,32,0.92,2,364
12749,Redbridge,Private room,20,1,101,2.78,2,279
12750,Hackney,Entire home/apt,77,1,1,0.03,1,0
12753,Lambeth,Private room,30,3,162,4.4,2,62
12754,Tower Hamlets,Private room,28,1,3,0.08,3,0
12755,Ealing,Private room,80,1,2,0.08,1,88
12756,Islington,Entire home/apt,225,2,46,1.26,1,246
12757,Havering,Entire home/apt,90,1,2,0.05,1,221
12758,Westminster,Entire home/apt,90,5,13,0.36,1,0
12760,Waltham Forest,Entire home/apt,150,5,2,0.06,1,0
12761,Kensington and Chelsea,Entire home/apt,130,7,1,0.03,1,0
12762,Wandsworth,Entire home/apt,57,4,1,0.03,1,0
12765,Brent,Private room,37,2,1,0.03,2,363
12766,Merton,Private room,65,1,12,0.33,2,365
12767,Hackney,Private room,50,2,2,0.06,1,0
12768,Hounslow,Private room,60,1,143,3.91,1,173
12769,Lambeth,Entire home/apt,115,5,3,0.08,2,15
12770,Southwark,Private room,56,2,1,0.03,1,0
12771,Westminster,Entire home/apt,110,6,26,0.72,1,0
12772,Brent,Entire home/apt,100,2,26,0.73,159,10
12773,Wandsworth,Entire home/apt,110,2,12,0.34,1,0
12774,Redbridge,Private room,24,2,21,0.58,2,239
12775,Hackney,Entire home/apt,80,3,8,0.22,1,17
12778,Tower Hamlets,Entire home/apt,120,4,4,0.11,2,0
12779,Kensington and Chelsea,Entire home/apt,120,1,4,0.11,1,25
12780,Hackney,Private room,42,2,4,0.11,1,0
12781,Islington,Private room,40,2,12,0.33,2,31
12782,Kensington and Chelsea,Entire home/apt,123,2,9,0.26,2,69
12784,Lambeth,Entire home/apt,49,2,40,1.1,1,0
